AP Inventory
AP Name,Ethernet MAC,AP IP Address,Location,Model,Controller Name,Primary Controller Name,Admin Status,Serial Number,AP Type,Secondary Controller Name,AP Mode
MTRMTR00006/01-10BI-KN_LUAR,00:1F:64:1B:7E:D9,0.0.0.0,Auditorium_Unram_07,AE5000-E2AN2,WAC-D7-MTR,WAC-D7-MTR,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
PALPAL00046/01-01AI-Bl_Kasir,00:1F:64:DB:BD:F6,10.14.61.13,RM KERINCI JL. RA. KARTINI NO. 15 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900001,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00054/02-02AI-R_Meeting_Citra_Mulia_Hotel,00:1F:64:DB:BD:F9,10.14.61.19,CITRA MULIA HOTEL JL. TANJUNG SATU NO. 75 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900002,CAPWAP,WAC-D7-PTR02,FitAP
7PAL000983/01-02AI-Dpn_R_Kantin,00:1F:64:DB:BD:FF,10.14.60.21,SMA NEGERI 2 JL. TANJUNG DAKO NO. 9 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900004,CAPWAP,WAC-D7-PTR02,FitAP
PALPAL00055/02-02AI-R_Tunggu_Graha_Mulia_Hotel,00:1F:64:DB:BE:02,10.15.68.23,GRAHA MULIA HOTEL JL. TANJUNG SATU NO. 77 PALU,AE5100-E2AN2T,WAC-D7-BLK02,WAC-D7-BLK02,Enabled,SN:01010600P13513900005,CAPWAP,WAC-D7-PTR02,FitAP
MTRMTR00135/01-02AI-DP_R_TU,00:1F:64:DB:BE:08,10.15.14.50,MAN_1_AP_02,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900007,CAPWAP,,FitAP
5MTR010906/01-06AI-DP_R_AULA,00:1F:64:DB:BE:0B,10.15.14.92,SMKn_3_MTR_10,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900008,CAPWAP,,FitAP
MTRMTR00151/01-01AI-DP_RUKO,00:1F:64:DB:BE:0E,0.0.0.0,Ex_Ruko_GM_Witel_NTB_01,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
MTRMTR00142/01-01AI-R_ADM,00:1F:64:DB:BE:11,0.0.0.0,KELURAHAN_PEJARAKAN_MATARAM,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
MTRMTR00149/01-01AI-DP_KASIR,00:1F:64:DB:BE:14,10.15.15.32,TOKO_NESYA_PANJITILAR_02,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900011,CAPWAP,,FitAP
BIMBIM00010/01-01AI-AREA_MASJID,00:1F:64:DB:BE:17,10.15.14.198,MASJID_HUSWATUN-HASANAH_BIMA,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900012,CAPWAP,,FitAP
MTRSGG00002/02-05AI-RESTORAN,00:1F:64:DB:BE:1A,10.15.14.177,Jayakarta_Hotel_05,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900013,CAPWAP,,FitAP
5MTR010906/02-05AI-DP_R_KEPSEK,00:1F:64:DB:BE:1D,10.15.14.86,SMKn_3_MTR_11,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900014,CAPWAP,,FitAP
MTRSGG00002/01-03AI-R_SENGGIGI,00:1F:64:DB:BE:20,10.15.14.227,Jayakarta_Hotel_10,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900015,CAPWAP,,FitAP
MTRSGG00002/02-07AI-R_RINJANI,00:1F:64:DB:BE:23,10.15.14.176,Jayakarta_Hotel_07,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900016,CAPWAP,,FitAP
5MTR010906/03-01AI-DP_R_SERVER,00:1F:64:DB:BE:26,10.15.14.211,SMKn_3_MTR_12,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900017,CAPWAP,,FitAP
MTRSGG00002/02-06AI-_R_RINJANI,00:1F:64:DB:BE:29,10.15.14.170,Jayakarta_Hotel_06,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900018,CAPWAP,,FitAP
MTRSGG00002/01-01AI-DP_R_OFFICE,00:1F:64:DB:BE:2C,10.15.14.218,Jayakarta_Hotel_08,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900019,CAPWAP,,FitAP
MTRMTR00135/01-01AI-DP_R_BK_BP,00:1F:64:DB:BE:2F,0.0.0.0,MAN_1_AP_01,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Disabled,SN:00000000000000000000,CAPWAP,,FitAP
BIMBIM00007/01-02AI-DP_KANTIN,00:1F:64:DB:BE:32,10.15.14.250,KAMPUS_STKIP_BIMA_02,AE5100-E2AN2T,WAC-D7-MTR,WAC-D7-MTR,Enabled,SN:01010600P13513900021,CAPWAP,,FitAP
