AP Inventory
AP Name,Ethernet MAC,AP IP Address,Model,Map Location,Controller Name,802.11b/g/n Status,Location
MTRMTR00006/01-10BI-KN_LUAR,00:1F:64:1B:7E:D9,0.0.0.0,AE5000-E2AN2,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Down,Auditorium_Unram_07
PALPAL00046/01-01AI-Bl_Kasir,00:1F:64:DB:BD:F6,10.14.61.13,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,RM KERINCI JL. RA. KARTINI NO. 15 PALU
PALPAL00054/02-02AI-R_Meeting_Citra_Mulia_Hotel,00:1F:64:DB:BD:F9,10.14.61.19,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,CITRA MULIA HOTEL JL. TANJUNG SATU NO. 75 PALU
7PAL000983/01-02AI-Dpn_R_Kantin,00:1F:64:DB:BD:FF,10.14.60.21,AE5100-E2AN2T,Root Area,WAC-D7-BLK02,Up,SMA NEGERI 2 JL. TANJUNG DAKO NO. 9 PALU
PALPAL00055/02-02AI-R_Tunggu_Graha_Mulia_Hotel,00:1F:64:DB:BE:02,10.15.68.23,AE5100-E2AN2T,WAC Sulawesi>>Makassar>>MKS02,WAC-D7-BLK02,Up,GRAHA MULIA HOTEL JL. TANJUNG SATU NO. 77 PALU
MTRMTR00135/01-02AI-DP_R_TU,00:1F:64:DB:BE:08,10.15.14.50,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,MAN_1_AP_02
5MTR010906/01-06AI-DP_R_AULA,00:1F:64:DB:BE:0B,10.15.14.92,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,SMKn_3_MTR_10
MTRMTR00151/01-01AI-DP_RUKO,00:1F:64:DB:BE:0E,0.0.0.0,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Down,Ex_Ruko_GM_Witel_NTB_01
MTRMTR00142/01-01AI-R_ADM,00:1F:64:DB:BE:11,0.0.0.0,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Down,KELURAHAN_PEJARAKAN_MATARAM
MTRMTR00149/01-01AI-DP_KASIR,00:1F:64:DB:BE:14,10.15.15.32,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,TOKO_NESYA_PANJITILAR_02
BIMBIM00010/01-01AI-AREA_MASJID,00:1F:64:DB:BE:17,10.15.14.198,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,MASJID_HUSWATUN-HASANAH_BIMA
MTRSGG00002/02-05AI-RESTORAN,00:1F:64:DB:BE:1A,10.15.14.177,AE5100-E2AN2T,WAC Nusa Tenggara>>Mataram>>WAC Mataram,WAC-D7-MTR,Up,Jayakarta_Hotel_05
